GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kodexa-java,com.kodexa.client.remote,RemoteAction,71,0,0,0,19,0,8,0,8,0
kodexa-java,com.kodexa.client.remote,CloudSessionType,24,0,0,0,3,0,1,0,1,0
kodexa-java,com.kodexa.client.remote,CloudExecutionStep,155,0,30,0,4,0,26,0,11,0
kodexa-java,com.kodexa.client.remote,Page,199,0,22,0,6,0,26,0,15,0
kodexa-java,com.kodexa.client.remote,ProcessingStatus,34,0,0,0,4,0,1,0,1,0
kodexa-java,com.kodexa.client.remote,RemotePipelineSession,4,0,0,0,2,0,1,0,1,0
kodexa-java,com.kodexa.client.remote,RemotePipeline,152,0,0,0,36,0,11,0,11,0
kodexa-java,com.kodexa.client.remote,ContentObject,240,0,46,0,6,0,38,0,15,0
kodexa-java,com.kodexa.client.remote,KodexaPlatform,55,0,8,0,9,0,14,0,10,0
kodexa-java,com.kodexa.client.remote,AbstractKodexaSession,521,0,28,0,119,0,23,0,9,0
kodexa-java,com.kodexa.client.remote,CloudExceptionDetail,258,0,48,0,7,0,41,0,17,0
kodexa-java,com.kodexa.client.remote,CloudExecution,362,0,66,0,14,0,55,0,22,0
kodexa-java,com.kodexa.client.remote,AbstractKodexaConnection,40,0,0,0,11,0,3,0,3,0
kodexa-java,com.kodexa.client.remote,ProcessingException,177,0,30,0,6,0,27,0,12,0
kodexa-java,com.kodexa.client.remote,CloudStore,155,0,30,0,4,0,26,0,11,0
kodexa-java,com.kodexa.client.remote,CloudSession,75,0,14,0,2,0,14,0,7,0
kodexa-java,com.kodexa.client.store,StoredRow,386,0,72,0,10,0,59,0,23,0
kodexa-java,com.kodexa.client.store,AbstractFileSystemDocumentStore.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
kodexa-java,com.kodexa.client.store,JsonDocumentStore,35,0,0,0,9,0,5,0,5,0
kodexa-java,com.kodexa.client.store,AbstractFileSystemDocumentStore,160,0,8,0,39,0,14,0,10,0
kodexa-java,com.kodexa.client.store,RemoteTableDataStore.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
kodexa-java,com.kodexa.client.store,RemoteDocumentStore,105,0,4,0,24,0,5,0,3,0
kodexa-java,com.kodexa.client.store,MsgPackDocumentStore,36,0,0,0,10,0,5,0,5,0
kodexa-java,com.kodexa.client.store,RemoteTableDataStore,115,0,2,0,23,0,5,0,4,0
kodexa-java,com.kodexa.client.store,TableStore,150,0,22,0,8,0,21,0,10,0
kodexa-java,com.kodexa.client.store,DictionaryStore,14,0,0,0,4,0,1,0,1,0
kodexa-java,com.kodexa.client,ContentFeature,151,36,34,0,0,5,21,9,4,9
kodexa-java,com.kodexa.client,NodeFeatures,115,0,22,0,3,0,20,0,9,0
kodexa-java,com.kodexa.client,ContentException,395,0,78,0,10,0,62,0,23,0
kodexa-java,com.kodexa.client,KodexaException,9,0,0,0,4,0,2,0,2,0
kodexa-java,com.kodexa.client,Document,620,298,94,2,50,53,69,36,21,36
kodexa-java,com.kodexa.client,SqlitePersistenceLayer,435,1275,24,34,93,244,31,49,12,39
kodexa-java,com.kodexa.client,FeatureSet,120,0,22,0,3,0,20,0,9,0
kodexa-java,com.kodexa.client,SourceMetadata,468,47,102,0,0,13,65,15,14,15
kodexa-java,com.kodexa.client,ContentClassification,195,0,38,0,5,0,32,0,13,0
kodexa-java,com.kodexa.client,SqlitePersistenceLayer.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
kodexa-java,com.kodexa.client,ContentNode,104,88,10,0,23,20,12,17,7,17
kodexa-java,com.kodexa.client.registry,SourceRegistry,70,0,4,0,16,0,7,0,5,0
kodexa-java,com.kodexa.client.registry,StoreRegistry,33,0,3,0,7,0,6,0,4,0
kodexa-java,com.kodexa.client.connectors,FolderConnector.WildcardMatcher,106,0,9,0,21,0,8,0,3,0
kodexa-java,com.kodexa.client.connectors,FolderConnector,145,0,4,0,33,0,9,0,7,0
kodexa-java,com.kodexa.client.connectors,InputStreamConnector,55,0,2,0,14,0,8,0,7,0
kodexa-java,com.kodexa.client.pipeline,PipelineParameter,109,15,22,0,2,3,18,3,7,3
kodexa-java,com.kodexa.client.pipeline,DocumentConnector,7,18,0,0,2,7,2,3,2,3
kodexa-java,com.kodexa.client.pipeline,PipelineStepWrapper,0,93,2,8,0,25,2,8,0,5
kodexa-java,com.kodexa.client.pipeline,PipelineContext,20,33,0,0,4,9,4,5,4,5
kodexa-java,com.kodexa.client.pipeline,Options,11,84,1,1,4,23,3,13,2,13
kodexa-java,com.kodexa.client.pipeline,ClassBasedStep,12,38,2,2,3,12,2,4,0,4
kodexa-java,com.kodexa.client.pipeline,Pipeline,77,111,0,2,13,25,7,8,7,7
